白名单,#genre#
CCTV4欧洲,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226009/index.m3u8
CCTV4美洲,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226012/index.m3u8
CGTN英语,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225604/index.m3u8
CGTN西语,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226431/index.m3u8
CGTN俄语,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226543/index.m3u8
CGTN法语,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226520/index.m3u8
CGTN阿语,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226517/index.m3u8
CGTN纪录,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225602/index.m3u8
CCTV音乐之声,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226502/index.m3u8
CCTV经典音乐,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226503/index.m3u8
CCTV央广新闻,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226504/index.m3u8
澳门莲花卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226462/index.m3u8
海峡卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226342/index.m3u8
广东南方卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226249/index.m3u8
广东珠江频道,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226250/index.m3u8
上海东方影视频道,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226348/index.m3u8
杭州综合频道,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226337/index.m3u8
成都新闻综合,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226336/index.m3u8
哈尔滨综合,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226558/index.m3u8
佳木斯综合,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226451/index.m3u8
牡丹江综合,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226422/index.m3u8
鹤岗综合,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226534/index.m3u8
漠河综合,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226535/index.m3u8
大庆教育,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226523/index.m3u8
睛彩青少,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226508/index.m3u8
车迷频道,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226506/index.m3u8
摄影频道,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226507/index.m3u8
青年频道,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226509/index.m3u8
老年福频道,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226510/index.m3u8
书画频道,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226511/index.m3u8
文物宝库,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226512/index.m3u8
百姓健康,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226513/index.m3u8
央广中国之声,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226521/index.m3u8
央广经济之声,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226522/index.m3u8
央广文艺之声,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226524/index.m3u8
央视频移动网,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226101/index.m3u8
白名单测速,#genre#
东森美洲2,http://38.64.72.148:80/hls/modn/list/2015/chunklist1.m3u8
中旺电视,http://38.64.72.148:80/hls/modn/list/4010/chunklist1.m3u8
东森新闻美洲,http://38.64.72.148:80/hls/modn/list/2015/chunklist0.m3u8
海峡卫视,http://38.64.72.148:80/hls/modn/list/4009/chunklist1.m3u8
深圳电视台,http://38.64.72.148:80/hls/modn/list/4007/chunklist1.m3u8
芜湖新闻综合|澜露直播,http://38.75.136.137:82/live1/hoge.m3u8?ip=ahwhtv&id=7&usign=93AynXLPWngxAwDWteZS7g
宣城综合|澜露直播,http://38.75.136.137:82/live2/ahtv2.m3u8?id=ahxctv1&usign=93AynXLPWngxAwDWteZS7g
六安综合|澜露直播,http://38.75.136.137:82/live2/ahtv2.m3u8?id=ahlatv1&usign=93AynXLPWngxAwDWteZS7g
安州|澜露直播,http://38.75.136.137:82/live1/scy.m3u8?id=scmyaz1&usign=93AynXLPWngxAwDWteZS7g
梓潼|澜露直播,http://38.75.136.137:82/live1/scy.m3u8?id=scmyzt1&usign=93AynXLPWngxAwDWteZS7g
芜湖生活|澜露直播,http://38.75.136.137:82/live1/hoge.m3u8?ip=ahwhtv&id=9&usign=93AynXLPWngxAwDWteZS7g
平武|澜露直播,http://38.75.136.137:82/live1/scy.m3u8?id=scmypw1&usign=93AynXLPWngxAwDWteZS7g
邻水|澜露直播,http://38.75.136.137:82/live1/scy.m3u8?id=scgals1&usign=93AynXLPWngxAwDWteZS7g
武胜|澜露直播,http://38.75.136.137:82/live1/scy.m3u8?id=scgaws1&usign=93AynXLPWngxAwDWteZS7g
海峡卫视,http://38.64.72.148:80/hls/modn/list/4009/playlist.m3u8
春晚2022,http://txmov2.a.kwimgs.com/upic/2022/02/01/11/BMjAyMjAyMDExMTEwMjNfNDAzMDAxOTlfNjYzNzA4MTk4NzNfMF8z_b_B898cc7ddd0025bf54ddb18ec1f723c84.mp4
信阳综合|澜露直播,http://38.75.136.137:82/live1/hatv.m3u8?id=haxytv1&usign=M7sBXHR7iMOJOZXbdJPERQ
蚌埠新闻|澜露直播,http://38.75.136.137:82/live2/ahtv2.m3u8?id=ahbbtv1&usign=93AynXLPWngxAwDWteZS7g
Channel8,http://cdn6.163189.xyz/163189/ch8
春晚2020,http://txmov2.a.kwimgs.com/upic/2022/01/30/17/BMjAyMjAxMzAxNzA5NDdfNDAzMDAxOTlfNjYxNzQ2MDAyMTFfMF8z_b_B5d51d9564c5670dc66faeba20aa7af3f.mp4
ChannelU,http://cdn6.163189.xyz/163189/chu
苦妻,https://hd.ijycnd.com/play/zbqjwo3d/index.m3u8
色模2015年,https://hd.ijycnd.com/play/0dNxQnKa/index.m3u8
龙华偶像台,http://cdn8.163189.xyz/163189/lhox
香港豪放女学生1991年,https://hd.ijycnd.com/play/QbY6DM0d/index.m3u8
三奸2012年,https://play.hhuus.com/play/QeZgwWQa/index.m3u8
皇帝也风流（成人版）1996年,https://play.hhuus.com/play/qaQjOELb/index.m3u8
疯狂一夜情1995年,https://play.hhuus.com/play/pen77pEa/index.m3u8
剃刀情人1993年,https://hd.ijycnd.com/play/zbqYlxGb/index.m3u8
玉蒲团之偷情宝鉴1991年,https://play.hhuus.com/play/Yerpl0pb/index.m3u8
禁春1993年,https://hd.ijycnd.com/play/Le3lg7Ma/index.m3u8
展昭艳史1992年5,https://hd.ijycnd.com/play/Le3Aq4b6/index.m3u8
自传,https://hd.ijycnd.com/play/YaO5nqEd/index.m3u8
甄嬛传69,https://play.xluuss.com/play/BeXD2nve/index.m3u8
甄嬛传74,https://play.xluuss.com/play/mepYlBQa/index.m3u8
性虐娇娃1999年,https://hd.ijycnd.com/play/QbYvMWYd/index.m3u8
色欲怪谈之魔奸淫者2000年,https://hd.ijycnd.com/play/neg51GZb/index.m3u8
好色妖姬杨贵妃1990年,https://hd.ijycnd.com/play/QdJm92bO/index.m3u8
农场的女人们,https://hd.ijycnd.com/play/5eV0Z8Wb/index.m3u8
甄嬛传54,https://play.xluuss.com/play/qaQWB55d/index.m3u8
界刀淫魔1999年,https://hd.ijycnd.com/play/vbmwkn3e/index.m3u8
巨乳的疑惑1993年,https://hd.ijycnd.com/play/6dBgvmYe/index.m3u8
😂艺坛风雨录2005年,https://hd.ijycnd.com/play/zbqY88Rb/index.m3u8
甄嬛传52,https://play.xluuss.com/play/RdG6oQ5b/index.m3u8
色欲和尚1975年,https://play.hhuus.com/play/pen7R5pa/index.m3u8
官人我要1998年,https://hd.ijycnd.com/play/vbmw0ppe/index.m3u8
色降II之血玫瑰1996年,https://hd.ijycnd.com/play/neg5Ng3b/index.m3u8
甄嬛传53,https://play.xluuss.com/play/1aM8x51e/index.m3u8
新红楼梦9,https://play.hhuus.com/play/5eVoJgMa/index.m3u8
自白,https://hd.ijycnd.com/play/penNlk5e/index.m3u8
香港奇案5：奸魔1997年,https://play.hhuus.com/play/RdGA7lya/index.m3u8
马杀鸡2003年,https://hd.ijycnd.com/play/PdRgzYLe/index.m3u8
迷魂党2023年,https://hd.ijycnd.com/play/QbY6OlAd/index.m3u8
甄嬛传51,https://play.xluuss.com/play/9aADg8je/index.m3u8
甄嬛传76,https://play.xluuss.com/play/9aADgW9e/index.m3u8
甄嬛传25,https://play.xluuss.com/play/Ddwpvkze/index.m3u8
甄嬛传21,https://play.xluuss.com/play/9b6840ze/index.m3u8
甄嬛传24,https://play.xluuss.com/play/mepYlzma/index.m3u8
聊斋艳谭1：艳魔大战1990年,https://hd.ijycnd.com/play/QdJZBgyd/index.m3u8
